id,category,german,korean
1,병원,Ich habe Bauchschmerzen.,배가 아파요.
2,병원,Ich brauche einen Termin beim Arzt.,의사 진료 예약이 필요해요.
3,병원,Ich bin allergisch gegen Penicillin.,페니실린에 알레르기가 있어요.
4,병원,Ich brauche ein Rezept.,처방전이 필요해요.
5,병원,Wo ist die Notaufnahme?,응급실이 어디에 있나요?
6,마트,Wo ist die Kasse?,계산대가 어디에 있나요?
7,마트,Könnte ich eine Tüte bekommen?,봉투 하나 주실 수 있나요?
8,마트,Gibt es das auch in einer anderen Größe?,다른 사이즈도 있나요?
9,마트,Ich möchte das zurückgeben.,이거 반품하고 싶어요.
10,마트,Wie viel kostet das?,이거 얼마예요?
11,은행,Ich möchte ein Konto eröffnen.,계좌를 개설하고 싶어요.
12,은행,Wo ist der Geldautomat?,ATM이 어디에 있나요?
13,은행,Ich habe meine Karte verloren.,카드를 잃어버렸어요.
14,은행,Wie hoch ist die Kontoführungsgebühr?,계좌 유지비가 얼마인가요?
15,은행,Ich möchte Geld überweisen.,송금하고 싶어요.
16,대중교통,Wo ist die nächste U-Bahn-Station?,가장 가까운 지하철역이 어디인가요?
17,대중교통,Wie viel kostet ein Ticket?,표 값이 얼마인가요?
18,대중교통,Ich habe mein Ticket verloren.,표를 잃어버렸어요.
19,대중교통,Fährt dieser Bus zum Hauptbahnhof?,이 버스는 중앙역으로 가나요?
20,대중교통,Der Fahrkartenautomat funktioniert nicht.,승차권 자동판매기가 작동하지 않아요.
21,우체국,Ich möchte diesen Brief verschicken.,이 편지를 보내고 싶어요.
22,우체국,Wie viel kostet der Versand nach Korea?,한국으로 보내는 데 얼마인가요?
23,우체국,Ich möchte ein Einschreiben senden.,등기 우편으로 보내고 싶어요.
24,우체국,Wo kann ich Briefmarken kaufen?,우표는 어디서 살 수 있나요?
25,우체국,Ich möchte ein Paket abholen.,소포를 찾으러 왔어요.
26,이민/비자,Ich möchte mich anmelden.,거주지 등록을 하고 싶어요.
27,이민/비자,Ich habe einen Termin beim Ausländeramt.,외국인청에 예약이 있어요.
28,이민/비자,Welche Unterlagen brauche ich für das Visum?,비자 신청에 어떤 서류가 필요한가요?
29,이민/비자,Wie lange dauert die Bearbeitung?,처리 기간은 얼마나 걸리나요?
30,이민/비자,Ich möchte meine Aufenthaltserlaubnis verlängern.,체류 허가를 연장하고 싶어요.
31,학교,Wann beginnt der Unterricht?,수업은 언제 시작하나요?
32,학교,Ich bin neu hier.,저는 여기 새로 왔어요.
33,학교,Wo ist das Sekretariat?,교무실은 어디에 있나요?
34,학교,Ich brauche eine Bescheinigung.,증명서가 필요해요.
35,학교,Wie melde ich mein Kind an?,아이를 어떻게 등록하나요?
36,부동산,Ich suche eine Wohnung.,집을 구하고 있어요.
37,부동산,Wie hoch ist die Miete?,월세는 얼마인가요?
38,부동산,Gibt es eine Kaution?,보증금이 있나요?
39,부동산,Ich möchte die Wohnung besichtigen.,집을 둘러보고 싶어요.
40,부동산,Wie viele Zimmer hat die Wohnung?,방이 몇 개예요?
41,식당,Könnte ich die Speisekarte sehen?,메뉴판 좀 볼 수 있을까요?
42,식당,Ich hätte gern ein Glas Wasser.,물 한 잔 주세요.
43,식당,Ist dieses Gericht vegetarisch?,이 요리는 채식인가요?
44,식당,Die Rechnung bitte.,계산서 주세요.
45,식당,Es hat sehr gut geschmeckt.,정말 맛있었어요.
46,일상생활,Wie spät ist es?,지금 몇 시예요?
47,일상생활,Könnten Sie das bitte wiederholen?,다시 말씀해 주시겠어요?
48,일상생활,Ich verstehe nicht.,이해하지 못했어요.
49,일상생활,Können Sie langsamer sprechen?,천천히 말씀해 주세요.
50,일상생활,Ich spreche nur ein bisschen Deutsch.,저는 독일어를 조금밖에 못 해요.
